Such a sweet painting! Happy to sell a giclee of it! http://fb.me/1uPPiRMne&nbsp;
First the acrylic layering of Naples yellow... and then begin sketching in charcoal http://fb.me/2ccHHHvMK&nbsp;
Bathed in Gold Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/HtS8M&nbsp;
Last Push Horse Painting by Texas Artist Laurie Pace http://nblo.gs/HwAJo&nbsp;
River Bank Horse Painting By Texas Artist Laurie Pace http://nblo.gs/HzENe&nbsp;
Night Snow Abstract Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/HBgkY&nbsp;
Which Direction Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/HD9Jz&nbsp;
It&#39;s All Mine, Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/HGqnB&nbsp;
Free Calendar Drawing from Texas Artist Laurie Pace http://nblo.gs/HJ7Oj&nbsp;
Summer Pony in Winter, Horse Painting by Texas Artist Laurie Pace http://nblo.gs/HLpxo&nbsp;
Hesitation Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/HNLdz&nbsp;
Midnight Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/HR5Wh&nbsp;
Running Through Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/HSDPh&nbsp;
Spirited Journey Progression Horse Painting by Texas Artist Laurie Pace http://nblo.gs/HUv3o&nbsp;
http://pinterest.com/pin/54958057924874030/&nbsp;… Linda McCoy Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874044/&nbsp;… Barbara Mason   Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874048/&nbsp;… Holly Hunter Berry Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874067/&nbsp;… Annie OBrien Gonzales Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874072/&nbsp;… Jan Clay Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874074/&nbsp;… Amy Whitehouse Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874077/&nbsp;… Barbara Churchley   Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874080/&nbsp;… Pamela Blaies Texas Artist    Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874087/&nbsp;… Richard Newill   Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874092/&nbsp;… Richard Newill Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874097/&nbsp;… Gabriele Bitter Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874100/&nbsp;… Carol Engles Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874106/&nbsp;… Kay Crain Missouri Artist  Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874113/&nbsp;… Carol Nelson Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874117/&nbsp;… Filomena Booth Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874128/&nbsp;… Rob Compton Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874136/&nbsp;… Gibson Pottery and Glass Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874157/&nbsp;… Suzy Pal Powell Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874178/&nbsp;… Amy Hillenbrand Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874182/&nbsp;… Russell McCall Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874196/&nbsp;… Diane Whitehead Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874200/&nbsp;… Anne Hines Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874207/&nbsp;… Mary Jo Zorad Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874210/&nbsp;… Conni Togel Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874223/&nbsp;… Marchita Priest Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874227/&nbsp;… Hall Groat II Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874231/&nbsp;… Lisa McKinney Visual Language Magazine Contemporary Fine Art March 2013
http://pinterest.com/pin/54958057924874240/&nbsp;… Dutch Art Gallery Visual Language Magazine Contemporary Fine Art March 2013
Progress of Spirited Journey Horse Painting Gift of Love by Texas Artist Laurie Pace http://nblo.gs/HWMOP&nbsp;
Spirited Journey Horse Paintings Progress by Texas Artist Laurie Pace http://nblo.gs/I0giU&nbsp;
A Gift of Love Journey of the Spirit

http://vimeo.com/58417900&nbsp;
Horse Paintings progress, The Spirited Journey by Texas Artist Laurie Pace http://nblo.gs/I2Un5&nbsp;
Closing in on the finish... Horse Painting by Texas Artist Laurie Pace http://nblo.gs/I4BOR&nbsp;
White Wind Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/I8dLX&nbsp;
Standing Ground Horse paintings by Texas Artist Laurie Pace http://nblo.gs/I8dLW&nbsp;
Big Wolf Paintings by Texas Artist Laurie Pace http://nblo.gs/I9MyB&nbsp;
Nine Strong Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/IbC6k&nbsp;
Signature Painted Pony Pull Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/IexSZ&nbsp;
Three Horses of Color by Texas Artist Laurie Pace http://nblo.gs/Ihd04&nbsp;
Full Bloom Hydrangea Painting by Texas Artist Laurie Pace http://nblo.gs/Ijc8n&nbsp;
Confusion, The Good People Series Paintings by Texas Artist Laurie Pace http://nblo.gs/IlYXk&nbsp;
Progress Horse Painting Crossing the County Line by Texas Artist Laurie Pace http://nblo.gs/IpdVR&nbsp;
Progress Horse Painting by Texas Artist Laurie Pace http://nblo.gs/IpSbC&nbsp;
Beginnings ...really New ones! Abstract Figurative Painting by Texas Artist Laurie Pace http://nblo.gs/Iu2GQ&nbsp;
Final Image  Crossing the County Line Horse Painting by Texas Artist Laurie Pace http://nblo.gs/Iu2GP&nbsp;
Stepping further with Figurative Abstract by Texas Artist Laurie Pace http://nblo.gs/IxyZ9&nbsp;
Working Wet on Wet finding Figures by Texas Artist Laurie Pace http://nblo.gs/IzvPO&nbsp;
My work can now be seen at The White Dog Gallery in Carbondale, Colorado. http://fb.me/1XdS83Tt3&nbsp;
Now available at The White Dog Gallery http://fb.me/2vegk4EPa&nbsp;
Standing Ground now at The White Dog Gallery  40 x 40 inches http://fb.me/wZWG21wh&nbsp;
From Sketch to Mid way in Figurative abstract Painting by Texas Artist Laurie Pace http://nblo.gs/IBJfr&nbsp;
Close ups of the Figurative Abstract by Texas Artist Laurie Pace http://nblo.gs/ICxIP&nbsp;
Figurative Abstract Painting by Texas Artist Laurie Pace http://nblo.gs/IFBEd&nbsp;
The Good People Figurative Abstract Paintings by Texas Artist Laurei Pace http://nblo.gs/IHcaC&nbsp;
Progress Longhorn Painting by Texas Artist Laurie Pace http://nblo.gs/IJaLX&nbsp;
Texas Longhorn Painting in progress with Texas Artist Laurie Pace http://nblo.gs/IMg24&nbsp;
Longhorn Bevo Painting by Texas Artist Laurie Pace http://nblo.gs/IPFwz&nbsp;
Found Love Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/IQdGH&nbsp;
Cypress Water Hole Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/IRsxO&nbsp;
Descent from Snowy Mountain by Texas Artist Laurie Pace http://nblo.gs/IUjLW&nbsp;
Horse of Fire Abstract  Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/IW1mY&nbsp;
Hints of Picasso Flower Paintings by Texas Artist Laurie Pace http://nblo.gs/IXKDd&nbsp;
Sunflower Paintings by Texas Artist Laurie Pace http://nblo.gs/J0jj3&nbsp;
Alpha Abstract Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/J3re6&nbsp;
Beta Abstract Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/J5byB&nbsp;
Red Moon Winter Solstice Horse Painting by Texas Artist Laurie Pace http://nblo.gs/J6l2z&nbsp;
Herd over the Hudson Horse Paintings by Texas Equine Artist Laurie Pace http://nblo.gs/J840i&nbsp;
Exhausted Female Figurative Painting by Texas Artist Laurie Pace http://nblo.gs/Jbion&nbsp;
Falling into Winter, Abstract Horse Painting by Texas Artist Laurie Pace http://nblo.gs/Jdk81&nbsp;
First Race of Spring Horse Painting by Texas Artist Laurie Pace http://nblo.gs/JffYx&nbsp;
Answering the Call, Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/JilCE&nbsp;
Deep in Red Rage Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/JkNy3&nbsp;
Koi Digital Art Photography by Texas Artist Laurie Pace http://nblo.gs/JlVMQ&nbsp;
Four Black Horses Paintings by Texas Artist Laurie Pace http://nblo.gs/JneR0&nbsp;
Full Circle Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/Js5q0&nbsp;
In Awe Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/JsB5q&nbsp;
Mountain Herd Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/Jug3k&nbsp;
Pony Daze Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/JvLwU&nbsp;
Playing for Papa by Texas Artist Laurie Pace http://nblo.gs/JznC1&nbsp;
Race to the Lake Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/JBiuN&nbsp;
Horse Two Abstract Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/JBD2L&nbsp;
Horse One Abstract Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/JDAsb&nbsp;
Purple Cone Flower Photography by Texas Artist Laurie Pace http://nblo.gs/JH4Qi&nbsp;
Laurie Pace Palette Knife Workshops...Sign up NOW! http://nblo.gs/JPygL&nbsp;
New Beginnings? From Golden Pond Studio, Texas Artist Laurie Pace http://nblo.gs/JQ49w&nbsp;
Second Beginnings?  Horse Paintings by Texas Artist Laurie Pace, Golden Pond Studio http://nblo.gs/JRpiM&nbsp;
Third Times a Charm?  Horse Paintings from Golden Pond Studio, Texas Artist Laurie Pace http://nblo.gs/JV21c&nbsp;
Losing Direction... a Herd of Five Horse Painting by Texas Artist Laurie Pace Golden Pond Studio http://nblo.gs/JWYhN&nbsp;
Hesitation 9 x 12 oil on canvas Horse Painting by Texas Artist Laurie Pace http://nblo.gs/JYvFt&nbsp;
Indian Paint Pony 30 x 30 inches Horse Painting by Texas Artist Laurie Pace http://nblo.gs/K0voT&nbsp;
Loosing Direction Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/K2Z5v&nbsp;
Losing Direction  30 x 40 Oil on Canvas  AVAILABLE http://fb.me/CYHhPVPH&nbsp;
Horse Sketches for horse painting by Texas Artist Laurie Pace, Golden Pond Studio http://nblo.gs/K4jgT&nbsp;
First Day Progress on Early Morning Race Horse Paintings by Texas Artist Laurie Pace, Golden Pond Studio http://nblo.gs/K5IoJ&nbsp;
Continued Painting on Early Morning Race Horse Paintings by Texas Artist Laurie Pace, Golden Pond Studio http://nblo.gs/K7AOm&nbsp;
Continued Painting on Early Morning Race Horse Paintings from Texas Palette Knife Artist Laurie Pace,... http://nblo.gs/Kbggb&nbsp;
Continued Painting on Early Morning Race Horse Paintings by Texas Artist Laurie Pace, Golden Pond Studio http://nblo.gs/KcXck&nbsp;
Another Horse was Found in Racing the Morning! Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/KeSjB&nbsp;
Sunset Journey Sail Boat Painting by Texas Artist Laurie Pace http://nblo.gs/KgQNK&nbsp;
Sail Boat Painting continued by Texas Artist Laurie Pace http://nblo.gs/KiG25&nbsp;
Progress on the Sail Boat Painting by Texas Artist Laurie Pace http://nblo.gs/Kkhbp&nbsp;
Final Sail! Sail Boat Painting completed by Texas Artist Laurie Pace http://nblo.gs/KlTRD&nbsp;
Summer Winds Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/KpxKm&nbsp;
The Palette Knife People living tight?  Really? Abstract Figurative on the easel of Texas Artist Laur... http://nblo.gs/Krstd&nbsp;
Palette Knife People adding layers to their lives... By Texas Artist Laurie Pace http://nblo.gs/KsV4z&nbsp;
Gathering... The Good People are Gathering. Figurative Palette Knife Painting by Texas Artist Laurie ... http://nblo.gs/Ku0Xv&nbsp;
Day Break Commissioned Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/KwUcd&nbsp;
Progress on Day Break Commissioned Oil Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/KyL4d&nbsp;
Day Break Commissioned Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/KAjhB&nbsp;
Day Break Commissioned Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/KCdDs&nbsp;
Day Break Commissioned Oil Horse Painting by Texas Artist Laurie Pace http://nblo.gs/KFtAV&nbsp;
Day Break Commissioned Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/KGXRZ&nbsp;
Day Break Horse Paintings commission work by Texas Artist Laurie Pace http://nblo.gs/KI2sp&nbsp;
Day Break Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/KKIRr&nbsp;
Golden Boy.. in progress....need to know if there is interest in 100 horses in 100 days this summer.... http://fb.me/2Snr2Ueds&nbsp;
MIrada Fine Art bound.  Midsummer Night Gathering... 28 x 42 inches Oil... Oil...Oil layered in about 20 plus... http://fb.me/2tDZ3sWUB&nbsp;
This painting just arrived in Kentucky at South Hill Gallery in Lexington KY.  Go by and see it in person. http://fb.me/EiuGEcfc&nbsp;
Star Light Run is also at South Hill Gallery in Lexington KY.  30 x 40 in gorgeous colors. http://fb.me/2jTKslVjj&nbsp;
Final Night Descent from Snowy Mountain is the third piece now at South Hill Gallery in Lexington, KY.  18 x 27... http://fb.me/Kgv5hGbP&nbsp;
Her Favorite Pink Flowers by Texas Artist Laurie Pace http://nblo.gs/KMFaN&nbsp;
Texas Contemporary Fine Artist Laurie Justus Pace: http://lauriepace.artspan.com/#.UX_ymwNNYh8.twitter&nbsp;…
Golden Boy Horse Paintings in progress by Texas Artist Laurie Pace http://nblo.gs/KO4Rq&nbsp;
Golden Boy Progresses... Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/KPuCf&nbsp;
Golden Boy Breaks through...Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/KSUeZ&nbsp;
Summer Horse 82 2012 Pony Series Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/KUnl5&nbsp;
Have no clue on the direction. Have done this once, added oils, washed it and brought it back to this state. It... http://fb.me/2MOsfli7r&nbsp;
Summer Solstice Celebration 2013, Good People Series by Texas Artist Laurie Pace http://nblo.gs/KVqaY&nbsp;
Summer Solstice Celebration 2013, Good People Series by Texas Artist Laurie Pace http://nblo.gs/KWysW&nbsp;
Un-Named Horse Painting by Texas Artist Laurie Pace http://nblo.gs/KZN5A&nbsp;
Not Black or White Horse Paintings in Progress by Texas Artist Laurie Pace http://nblo.gs/L1wC6&nbsp;
Found Love Horse paintings by Texas Artist Laurie Pace http://nblo.gs/L32Yb&nbsp;
Hesitation Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/L4UCw&nbsp;
Almost finished... 22 tubes of paint later. http://fb.me/1YfMwibaj&nbsp;
Paint Pony Horse Painting by Texas Artist Laurie Pace http://nblo.gs/L7OOH&nbsp;
Appaloosa in the Wind, Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/L91vi&nbsp;
Running in Color in Progress but almost done.  Horse Painting by Texas Artist Laurie Pace http://nblo.gs/Lahtd&nbsp;
This was the next step for Green Fields. http://fb.me/30kzwmP4Q&nbsp;
Colors of Wind in Progress Horse painting by Texas Artist Laurie Pace http://nblo.gs/LdvyG&nbsp;
Green Fields late this morning.  It is 32 x 48 inches and lots of  layers of paint. It is available. http://fb.me/204XPBaag&nbsp;
Weathering the Storm in Progress by Texas Artist Laurie Pace, Abstract Horse Paintings http://nblo.gs/LfD0F&nbsp;
Final Stretch Horse Painting by Texas Artist Laurie Pace, Abstract Horse Paintings http://nblo.gs/Lh74P&nbsp;
The Pear, fruit painting by Texas Artist Laurie Pace http://nblo.gs/LiK6N&nbsp;
Left Overs Horse Painting by Texas Artist Laurie Pace http://nblo.gs/LmItf&nbsp;
Downhill appears in Horse Painting by Texas Artist Laurie Pace http://nblo.gs/Lngla&nbsp;
IN progress in the studio.... http://fb.me/uposKQwo&nbsp;
I posted 7 photos on Facebook in the album &quot;Downhill&quot; http://fb.me/2Emx4ebK8&nbsp;
Downhill Horse Painting Progress by Texas Artist Laurie Pace http://nblo.gs/LowYG&nbsp;
Downhill Horse Painting by Texas Artist Laurie Pace http://nblo.gs/Lq1VQ&nbsp;
Two in the Sun, Abstract Horse Painting by Texas Artist Laurie Pace http://nblo.gs/LuQ0A&nbsp;
A slide show of a painting for a fund raiser here in Dallas in August... check out the show and then visit the...http://fb.me/2aMsmIvVs&nbsp;
Contemporary Horse Painting begins by Texas Artist Laurie Pace http://nblo.gs/Lww7W&nbsp;
The Challenge, a contemporary horse painting by Texas Artist Laurie Pace http://nblo.gs/Lybgn&nbsp;
Contemporary Figurative Painting, SUMMER SOLSTICE, third painting in THE GOOD PEOPLE SERIES by Texas ... http://nblo.gs/LAz4P&nbsp;
Completed GOLDEN BOY Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/LBOmI&nbsp;
Rock Hard 30 x 30 mixed Media, going to Mirada Fine Art in Denver. http://fb.me/2sKAYZ8pH&nbsp;
Rock Hard, Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/LDgfM&nbsp;
Worked last night for about three hours, frustrated and went to bed... got up and have worked another five... http://fb.me/28XQ1w7fN&nbsp;
Weathering the Storm contemporary horse paintings by Texas Artist Laurie Pace http://nblo.gs/LGliL&nbsp;
Beginnings of Green Fields Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/LIk2C&nbsp;
Day Two Green Fields Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/LJGh6&nbsp;
Green Fields Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/LL1Zy&nbsp;
Down Hill Final Painting Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/LNPwO&nbsp;
Blue Mist Horse Painting in Progress Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/LPehC&nbsp;
Blue Mist Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/LQPOD&nbsp;
Paintful Painful Journey on Canvas with Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/LSmIJ&nbsp;
Visual Language Magazine Vol 2 No 7 July 2013 Contemporary Fine Art http://issuu.com/visuallanguage/docs/visuallanguagemagazinevol2no7july20/1&nbsp;… via @Issuu
Visual Language Magazine July Issue now out on http://ISSUU.com&nbsp; http://lnkd.in/xRJPAx&nbsp; http://lnkd.in/t3dcAV&nbsp;
Final Stretch is now available at South Hill Gallery in Lexington KY  http://southhillgallery.com/?17&nbsp; http://fb.me/AwIw5qlL&nbsp;
Also new at South Hill Gallery http://southhillgallery.com/?17&nbsp;  This is WEATHERING THE STORM. http://fb.me/1XDbPqCWk&nbsp;
Color Fast Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/LVRWq&nbsp;
Color Fast Final Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/LXBex&nbsp;
Contemporary Horse Painting by Texas Artist Laurie Pace and July Issue of Visual Language Magazine 2013 http://nblo.gs/LYTZZ&nbsp;
Crossing the Meadow Contemporary Knife Horse Painting by Texas Artist Laurie Pace almost complete! http://nblo.gs/M0jbu&nbsp;
Crossing the Meadow Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/M2JpG&nbsp;
Beginnings Sketch to Canvas Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/M4Evw&nbsp;
Laurie Pace Studio Visit June 2013 #constantcontact http://conta.cc/11taFk8&nbsp;
Laurie Pace Studio Visit June 2013 http://conta.cc/11taFk8&nbsp; http://fb.me/1vbxKvOL2&nbsp;
Nude Sketch on Canvas by Texas Artist Laurie Pace http://nblo.gs/M9I5d&nbsp;
Nude Painting UnNamed by Texas Artist Laurie Pace http://nblo.gs/MbB6o&nbsp;
Three in the Sun Contemporary Horse Paintings  by Texas Artist Laurie Pace http://nblo.gs/McMGM&nbsp;
The Stare Wolf Painting by Texas Artist Laurie Pace http://nblo.gs/MdMK2&nbsp;
Blues Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/MgxKR&nbsp;
Crossing the County Line Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/MiqqR&nbsp;
Contemporary Horse Paintings Loosing Direction at Mirada Fine Art by Texas Artist Laurie Pace http://nblo.gs/MjXD9&nbsp;
Contemporary Horse Paintings Appaloosa in the Wind at Mirada Fine Art by Texas Artist Laurie Pace http://nblo.gs/Mlvwc&nbsp;
Contemporary Horse Paintings Indian Paint Pony at Dutch Art Gallery by Texas Artist Laurie Pace http://nblo.gs/MpkQ8&nbsp;
Contemporary Horse Paintings Commissioned Paintings by Texas Artist Laurie Pace http://nblo.gs/MqTl2&nbsp;
Contemporary Horse Paintings Relationships by Texas Artist Laurie Pace http://nblo.gs/Ms0ZL&nbsp;
VL Artist of the Day http://fb.me/LxogPhDT&nbsp;
Contemporary Horse Paintings Red Shoed Pony by Texas Artist Laurie Pace http://nblo.gs/MtQIA&nbsp;
Contemporary Horse Paintings Leap of Faith by Texas Artist Laurie Pace http://nblo.gs/Mx28w&nbsp;
Contemporary Horse Paintings Into the Light by Texas Artist Laurie Pace http://nblo.gs/MyZY3&nbsp;
Contemporary Horse Paintings White Wind by Texas Artist Laurie Pace http://nblo.gs/MACZE&nbsp;
Contemporary Horse Paintings Journey by Texas Artist Laurie Pace http://nblo.gs/MEd3n&nbsp;
Contemporary Horse Paintings Mid Morning Get Away by Texas Artist Laurie Pace http://nblo.gs/MFOhw&nbsp;
Contemporary Horse Paintings Old Red by Texas Artist Laurie Pace http://nblo.gs/MGNa4&nbsp;
Summer Herd 2013 Contemporary Horse Paintings #1 New Direction by Texas Artist Laurie Pace http://nblo.gs/MHYLX&nbsp;
Summer Herd 2013 Contemporary Horse Paintings # 2  by Texas Artist Laurie Pace http://nblo.gs/MLlOj&nbsp;
Summer Herd 2013 Contemporary Horse Paintings #3 Determined by Texas Artist Laurie Pace http://nblo.gs/MNfY8&nbsp;
Summer Herd 2013 Contemporary Horse Paintings #7 Firecracker by Texas Artist Laurie Pace http://nblo.gs/MOOLM&nbsp;
Beginning of New contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/MQd8I&nbsp;
Contemporary Horse Paintings Wish Upon a Star Rewinding by Texas Artist Laurie Pace http://nblo.gs/MTxvP&nbsp;
Contemporary Horse Paintings Shiny Red Shoes by Texas Artist Laurie Pace http://nblo.gs/MUMxE&nbsp;
Summer Herd 2013 Contemporary Horse Paintings #4 Surprise by Texas Artist Laurie Pace http://nblo.gs/MVZs7&nbsp;
Summer Herd 2013 Contemporary Horse Paintings #5 Summer Storm by Texas Artist Laurie Pace http://nblo.gs/MYbAI&nbsp;
Summer Herd 2013 Contemporary Horse Paintings #6 Contemplation by Texas Artist Laurie Pace http://nblo.gs/N11WS&nbsp;
Summer Herd 2013 Contemporary Horse Paintings #8 Patches by Texas Artist Laurie Pace http://nblo.gs/N2HQD&nbsp;
Summer Herd 2013 Contemporary Horse Paintings #9 Red Eagle by Texas Artist Laurie Pace http://nblo.gs/N4iZ4&nbsp;
Blaze of Glory, Morning Sun Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/N7oaB&nbsp;
Three Grazing Summer Horse Paintings by Texas Artist Laurie Pace, Venetian Plaster Mixed Media http://nblo.gs/N8Ivd&nbsp;
Beneath the Branches, Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/N9SxO&nbsp;
Three Grazing is moving on... Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/Nbxcg&nbsp;
Treasures by the Sea by Laurie Pace http://nblo.gs/Nf3kq&nbsp;
I&#39;ve just updated my professional profile on LinkedIn. Connect with me and view my profile. http://lnkd.in/un-2GY&nbsp; #in
PROCESS PAINTING by Texas Artist Laurie Pace http://nblo.gs/NgXx2&nbsp;
Captured Blooms by Texas Artist Laurie Pace http://nblo.gs/NiB28&nbsp;
Progress on Colors of the Night Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/Nk20B&nbsp;
Colors of Night Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/NmY8n&nbsp;
Progress of Summer Nude 1 2013, Palette Knife Nude Painting by Texas Artist Laurie Pace http://nblo.gs/NojQL&nbsp;
Summer Nude 1 2013, Palette Knife Nude Painting by Texas Artist Laurie Pace http://nblo.gs/NpSIc&nbsp;
Standing Ground, Contemporary Horse Paintings by Texas Artist Laurie Pace at The White Dog Gallery, C... http://nblo.gs/Ns1IB&nbsp;
Crossing the County Line, Contemporary Horse Palette Knife Painting by Texas Artist Laurie Pace http://nblo.gs/Nv3la&nbsp;
And Then There were Eight, Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/NwLgA&nbsp;
Crowning the Hill featured at Mirada Fine Art ~ Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/Ny5dR&nbsp;
Sun Bathing Buffalo by Texas Artist Laurie Pace, Contemporary Wildlife Palette Knife Painting http://nblo.gs/NAFuS&nbsp;
Winter White Wolf Contemporary Wildlife Palette Knife Painting by Texas Artist Laurie Pace http://nblo.gs/NBWmM&nbsp;
When You Wish Upon a Star... your dreams comes true.
32 x 48 inches of stunning color. http://fb.me/2ZFnBl92n&nbsp;
No 12 in the Summer Herd Series 2013  Buy it here:... http://fb.me/Sk5n1Hfu&nbsp;
Appaloosa in the Wind, Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/NDkgv&nbsp;
Three at the Watering Hole, Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/NEMAj&nbsp;
Summer Herd 10 Sunset Rising Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/NIjjR&nbsp;
JUST WET on the easel... had to share as it made me smile.  No 17 in the group, so I jumped ahead! Could not help... http://fb.me/6ieERxnHj&nbsp;
Racing the Night Summer Herd 11 Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/NK6de&nbsp;
12 The Pair, Summer Herd 2013 Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/NLoyn&nbsp;
13 Sun Stretch Summer Herd 2013, Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/NMplZ&nbsp;
14 In a Hurry Summer Herd 2013 Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/NPgQi&nbsp;
15 JUMP Summer Herd 2013 Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/NQVvc&nbsp;
16 Bow to the Rain Summer Herd 2013 Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/NSkrq&nbsp;
Been in the studio... finished one this morning. Promise to post pictures in the next 24 hours.
Started at my workshop and finished here at home today.... http://fb.me/2tQYPgGMB&nbsp;
This is my donated silent auction piece for the Children&#39;s Charity this weekend in Dallas.  As a teacher for over... http://fb.me/JY21PdQq&nbsp;
The Painted Ponies began in 2006 as can be tracked all over the internet. 
http://ellepace.com/the-painted-pony.html&nbsp;… http://fb.me/1Rd6GRf43&nbsp;
I have been blogging for 2550 days in a row... missing only one or two over the past ALMOST seven years...... http://fb.me/HQQ7AKC6&nbsp;
